abstract,Rouge1-F1,Rouge2-F1,RougeL-F1,RougeLSum-F1,METEOR_Final
" backgroundthe aim of this study was to determine if ultrasound ( us ) measurements of anterior neck soft tissue thickness at hyoid bone ( dshb ) , thyrohyoid membrane ( dsem ) , and anterior commissure ( dsac ) levels can be used to predict difficult laryngoscopy.material/methodswe included 203 patients age 2065 years scheduled to undergo general anesthesia in this prospective observational study . 
 correlation analysis and receiver operating characteristic curve ( roc ) analysis were used to determine the roles of screening tests [ interincisor gap ( iig ) , thyromental distance ( tmd ) , modified mallampati score ( mms ) ] and us measurements ( dshb , dsem , dsac ) in predicting difficult laryngoscopy.resultsthere were 28 out of 203 patients categorized as difficult laryngoscopy . 
 dshb , dsem , dsac , and mms were greater in the difficult laryngoscopy group ( p<0.0001 ) . 
 there was a strong positive correlation between dsem and dshb ( r=0.74 ) ; moderate positive correlations between dsem and dsac ( r=0.60 ) , dshb and dsac ( r=0.69 ) ; small positive correlations between mms and dshb ( r=0.32 ) , mms and dsem ( r=0.27 ) , mms and dsac ( r=0.32 ) , all p values 0.0001 ; very small positive correlation between tmd and iig ( r=0.18 , p=0.0089 ) ; small negative correlation between iig and mms ( r=0.27 , p=0.0001 ) ; and very small negative correlations between mms and tmd ( r=0.20 , p=0.004 ) , iig and dsac ( r=0.18 , p=0.011 ) , iig and dshb ( r=0.15 , p=0.034 ) . 
 the areas under the roc curve ( aucs ) of mms , dshb , dsem , and dsac were significantly larger compared with the reference line ( p<0.0001).conclusionsanterior neck soft tissue thicknesses measured by us at hyoid bone , thyrohyoid membrane , and anterior commissure levels are independent predictors of difficult laryngoscopy . 
 combinations of those screening tests or risk factors with us measurements might increase the ability to predict difficult laryngoscopy . ",0.3942,0.1832,0.2007,0.3577,0.2622
" introductionpericardial effusion and atrial fibrillation occur commonly after coronary artery surgery.aim of the studya prospective randomized clinical trial was conducted to evaluate the effects of posterior pericardiotomy on the occurrence of pericardial effusion , tamponade , and atrial fibrillation.material and methodsthe study group consisted of 96 patients ( 77 male and 19 female ) at a mean age of 58.1  9.8 years . 
 the patients were randomly assigned to one of three study groups : patients undergoing posterior pericardiotomy ( group i , n = 30 ) , controls ( group ii , n = 33 ) , and patients with additional posterior pericardial drainage tubes ( 28 mm ) who did not undergo posterior pericardiotomy ( group iii , n = 33).resultspostoperative hospitalization ( p = 0.03 ; 11.56  10.64 ) and reoperation due to tamponade ( p = 0.019 ; 12.1% ) were significantly higher in group ii . 
 extensive pericardial effusions were detected in one patient on the first postoperative day ( group ii , n = 1 ) , in one patient on the fifth postoperative day ( group iii , n = 1 ) , and in one patient on the 30th day after the operation ( group iii , n = 1 ) . 
 pericardial effusion exhibited regression in group i on postoperative day 30 ( p = 0.028 ) . a higher rate of postoperative atrial fibrillation was noted in group i , but no significant differences were found between the groups with regard to postoperative atrial fibrillation.conclusionspatients who did not undergo posterior pericardiotomy or did not receive posterior chest tubes exhibited residual pericardial effusion , required longer hospitalization , and had to be reoperated due to tamponade . 
 both posterior pericardiotomy and the use of posterior tubes are effective in the early postoperative period . ",0.4486,0.1455,0.215,0.3598,0.2841
" cisplatin is an effective drug used in the treatment of many cancers , yet its ototoxic potential places cancer patients , exposed to this drug , at risk of hearing loss , thus negatively impacting further on a patient 's quality of life . 
 it is paramount for health care practitioners managing such patients to be aware of cisplatin 's ototoxic properties and the clinical signs to identify patients at risk of developing hearing loss . 
 english peer - reviewed articles from january 1975 to july 2015 were assessed from pubmed , science direct , and ebscohost . 
 seventy - nine articles and two books were identified for this review , using mesh terms and keywords such as  ototoxicity  ,  cisplatin  ,  hearing loss  , and  ototoxicity monitoring  . 
 this review provides an up - to - date overview of cisplatin - associated ototoxicity , namely , its clinical features , incidence rates , and molecular and cellular mechanisms and risk factors , to health care practitioners managing the patient with cancer , and highlights the need for a team - based approach to complement an audiological monitoring programme to mitigate any further loss in the quality of life of affected patients , as there is currently no otoprotective agent recommended routinely for the prevention of cisplatin - associated ototoxicity . 
 it also sets the platform for effective dialogue towards policy formulation and strengthening of health systems in developing countries . ",0.3653,0.0963,0.1598,0.3196,0.2532
" the 
 synthetic modification of proteins plays an important role 
 in chemical biology and biomaterials science . 
 these fields provide 
 a constant need for chemical tools that can introduce new functionality 
 in specific locations on protein surfaces . in this work 
 , an oxidative 
 strategy is demonstrated for the efficient modification of n - terminal 
 residues on peptides and n - terminal proline residues on proteins . 
 
 the strategy uses o - aminophenols or o - catechols that are oxidized to active coupling species in 
 situ using potassium ferricyanide . 
 peptide screening results 
 have 
 revealed that many n - terminal amino acids can participate in this 
 reaction , and that proline residues are particularly reactive . 
 when 
 applied to protein substrates , the reaction shows a stronger requirement 
 for the proline group . 
 key advantages of the reaction include its 
 fast second - order kinetics and ability to achieve site - selective modification 
 in a single step using low concentrations of reagent . 
 although free 
 cysteines are also modified by the coupling reaction , they can be 
 protected through disulfide formation and then liberated after n - terminal 
 coupling is complete . 
 this allows access to doubly functionalized 
 bioconjugates that can be difficult to access using other methods . ",0.4,0.1176,0.1805,0.4,0.2757
" 
 objective . to identify the underlying factor structure of alcohol withdrawal syndrome , as measured with ciwa - ar 
 . methods . 
 exploratory factor analysis was conducted on the items of ciwa - ar . on 201 alcohol - dependent male patients seeking treatment for alcohol withdrawal at 36 hours of abstinence . 
 results . 
 a three - factor solution was obtained that accounted for 68.74% of total variance . 
 first factor had loading from four items ( 34.34% variance ) , second factor also had four items ( 24.25% variance ) , and the third had two items ( 10.04% variance ) . 
 conclusions . factor analysis reveals the existence of multidimensionality of alcohol withdrawal as measured with ciwa - ar and we found three factors that can be named as delirious , autonomic and nonspecific factors . ",0.4028,0.1329,0.2083,0.3333,0.3206
" backgroundheat illness is a major cause of preventable morbidity worldwide . 
 workers exposed to intense heat can become unable to activate compensation mechanisms , putting their health at risk . 
 heat stress also has a direct impact on production by causing poor task performance and it increases the possibility of work - related morbidity and injuries . during the sugarcane harvest period , workers are exposed to excessive sunlight and heat from approximately 6 am to 3 pm . 
 a first assessment of heat stress during the 2006/2007 harvesting season served to redesign the existing rehydration measures . in this project , 
 sugarcane workers were provided with more rehydration solutions and water during their work schedule.objectiveto assess heat stress preventive measures in order to improve existing rehydration strategies as a means of increasing productivity.methodsa small group of 22 workers were followed up for 15 days during working hours , from 6 am to 3 pm . 
 selection criteria were defined : to have worked more than 50% of the day 's working schedule and to have worked for at least 10 days of the follow - up period . 
 a simple data recollection sheet was used . 
 information regarding the amount of liquid intake was registered . 
 production output data was also registered . 
 temperature measurements were recorded by using a portable temperature monitoring device (  easylog , model el - usb-2).resultsthe average temperature measurements were above the nicaraguan ministry of labour thresholds . 
 seven workers drank 78 l of liquid , improving their production . 
 output production increased significantly ( p=0.005 ) among those best hydrated , from 5.5 to 8 tons of cut sugarcane per worker per day.conclusionsproductivity improved with the new rehydration measures . 
 awareness among workers concerning heat stress prevention was increased . ",0.3698,0.1369,0.1411,0.3017,0.1859
" choroid plexus papilloma is a rare benign tumor accounting for 0.5% of all intracranial tumors . the majority of choroid plexus papillomas occur during the first 2 years of life in the ventricular system . 
 moreover , dense calcification of the tumor is uncommon . 
 we report an adult case of densely calcified , atypical choroid plexus papilloma that originated from the cerebellopontine angle without connection to the forth ventricle . because the case involves a rare combination of four features  adult , dense calcification , atypical form , and cerebellopontine angle  each characteristic associated with the choroid plexus papilloma was discussed . 
 the finding of calcification at the cerebellopontine angle in an adult should suggest the possible presence of choroid plexus papilloma . ",0.3947,0.177,0.2807,0.3333,0.2962
" microwave imaging techniques are prone to signal corruption from unwanted multipath signals . 
 near - field systems are especially vulnerable because signals can scatter and reflect from structural objects within or on the boundary of the imaging zone . 
 these issues are further exacerbated when surface waves are generated with the potential of propagating along the transmitting and receiving antenna feed lines and other low - loss paths . in this paper 
 , we analyze the contributions of multi - path signals arising from surface wave effects . 
 specifically , experiments were conducted with a near - field microwave imaging array positioned at variable heights from the floor of a coupling fluid tank . 
 antenna arrays with different feed line lengths in the fluid were also evaluated . 
 the results show that surface waves corrupt the received signals over the longest transmission distances across the measurement array . however , the surface wave effects can be eliminated provided the feed line lengths are sufficiently long independently of the distance of the transmitting / receiving antenna tips from the imaging tank floor . 
 theoretical predictions confirm the experimental observations . ",0.4428,0.11,0.1841,0.3682,0.2994
" objectivesthe purpose of this study is to evaluate the treatment efficacy of enucleation after decompression.materials and methodsa total of 17 patients with cystic lesion of the jaw were treated with decompression followed by enucleation . 
 pre- and postdecompression panoramic radiographs were analyzed.resultsthe mean percentage of reduction after decompression was 64% . 
 the reaction was graded as good ( > 80% ) in five patients ( 29.4% ) , moderate ( 50%-80% ) in nine patients ( 52.9% ) , and poor ( < 50% ) in three patients ( 17.6% ) . 
 the reduction rate of larger cystic lesions was faster than that of smaller lesions . 
 however , the reduction rate was not affected by age . 
 the duration of follow - up ranged from one to eight years . 
 there were no complications , and one case recurred.conclusiondecompression is an effective method for the initial treatment of jaw cysts . ",0.3388,0.0757,0.16,0.2965,0.2557
" resistin ( retn ) , recently found to be relevant to inflammation and inflammatory disorders . 
 we , therefore , aimed to investigate the potential role of retn gene polymorphism in pathogenesis of acne vulgaris with familial history . 
 we investigated the retn-420c / g polymorphism in 180 patients with acne vulgaris and 180 healthy individuals in a case - control association analysis . in this study 
 , we also investigated the heritability of the retn susceptible allele from 140 trio families with acne affected offspring . 
 the genotyping was performed by polymerase chain reaction and direct dna sequencing . 
 the retn-420c / g polymorphism was significantly associated with acne in patients compared with healthy controls ( p=0.014 ) . 
 the minor allele g at -420 was more prevalent in cases vs. controls ( p=0.002 ) . 
 the retn-420c / g polymorphism was significantly associated with severity of acne vulgaris in patients ( p=0.0097 ) . 
 the results of a transmission disequilibrium test revealed a significant association between the retn-420c / g polymorphism and acne vulgaris ( p<0.001 ) . 
 for the first time in the literature , to our knowledge , we demonstrate a significant association of the retn-420c / g functional polymorphism with familial acne vulgaris . ",0.3422,0.1303,0.1901,0.289,0.1558
" indium - promoted coupling reactions between propargyl aldehydes ( 1 ) and -chloropropargylphenyl sulfide are reported . 
 although water has been shown to accelerate indium metal promoted reactions , the reverse pattern was observed in this series . 
 use of n - methylformamide ( nmf ) , which has not previously been a solvent known for use in indium - promoted reactions , afforded an acceleration of these barbier - style reactions compared to water . 
 indium - promoted reactions in this study also showed excellent regiocontrol and good stereocontrol , allowing for easy entry into the formation of epoxydiyne and enediyne skeletal structures . 
 this paper also describes use of the barbier coupled product ( 2 ) as a new , and easy , entry into the formation of enediyne and epoxydiyne skeletal structures . ",0.3446,0.0966,0.1582,0.2938,0.3451
" backgroundpediatric sepsis has high morbidity in children , may lead to acute kidney injury ( aki ) , and further aggravate the disease . 
 baicalin is a kind of flavonoid in scutellaria baicalensis georgi and has been reported to protect against several diseases , but its roles in septic aki remain unclear . 
 this study aimed to uncover the effects of baicalin in aki during pediatric sepsis.material/methodsblood urea nitrogen ( bun ) and serum creatinine ( cr ) levels were detected in 50 pediatric patients , who underwent basic therapy with or without baicalin adjunctive therapy . 
 mouse sepsis models were constructed by cecal ligation and puncture ( clp ) and treated with baicalin intragastrically , after which bun and cr examination , tunel apoptosis assay , and expression analyses of bax and bcl2 were performed.resultsbaicalin adjunctive therapy significantly decreased bun and cr levels in pediatric sepsis patients ( p<0.05 ) . 
 clp led to elevated bun and cr levels in the mouse model ( p<0.01 ) , indicating kidney injury accompanied by sepsis . 
 baicalin decreased bun and cr levels ( p<0.05 ) , and reduced the apoptotic cell percent in the renal tissue ( p<0.05 ) of the clp model . 
 it inhibited bax and promoted bcl2 in the renal tissue , which was consistent with cell apoptosis changes.conclusionsbaicalin is capable of suppressing renal cell apoptosis and protecting against aki in pediatric sepsis . 
 this study provides a potential adjunctive therapy for treating aki in pediatric sepsis , and further research is necessary to reveal its deeper mechanisms . ",0.4595,0.2132,0.2162,0.4054,0.2759
" the receptor for advanced glycation end - products ( rages ) is associated with the malignancy of cancer . 
 a recent study has suggested that glyceraldehyde - derived ages ( glycer - ages ) enhanced the malignancy of melanoma cells , but glucose - derived ages did not . however , the effects of glycer - ages on other cancer cells remain poorly understood , and the molecular mechanisms behind the above - mentioned effect have not been clarified . the present paper aimed to examine the effect of glycer - ages on cultured lung cancer a549 cells . 
 rage was expressed in a549 cells . 
 glycer - ages significantly attenuated cell proliferation . 
 furthermore , glycer - ages enhanced the migration capacity of the cells by activating rac1 via ros and also increased their invasion capacity . 
 we demonstrated that glycer - ages enhanced the migration and invasion of a549 cells rather than their proliferation . 
 these results suggest that glycer - ages play a critical role in the malignancy of cancer rather than its proliferation and are potential targets for therapeutic intervention . ",0.3718,0.0968,0.2372,0.3526,0.2488
" aim : demand from implant patients for quality and efficient treatment is increasing . 
 fortunately dental implant treatment is evolving with patients expectations.materials and methods : the study comprised of 45 patients for whom 89 implants were placed at different sites . 
 efficacy of the stents is evaluated in determining the position and diameter of the implants.conclusion:this study shows the extreme accuracy of this surgical stents in implant installation in terms of position and diameter . ",0.3552,0.1089,0.1776,0.3089,0.2666
" objectiveb lymphocytes play an important role in the immunopathogenesis of autoimmune diabetes . 
 we hypothesized that the altered b - cell subset phenotype is associated with autoimmune diabetes.research design and methodspatients with type 1 diabetes ( t1d ) ( n = 81 ) , latent autoimmune diabetes in adults ( lada ) ( n = 82 ) , or type 2 diabetes ( t2d ) ( n = 95 ) and healthy control subjects ( n = 218 ) with normal glucose tolerance ( ngt ) were recruited . 
 we determined the percentage of circulating b - lymphocyte subsets , including cd19+cd23cd21 + ( marginal zone b [ mzb ] ) , cd19+cd23+cd21 ( follicular b [ fob ] ) , and cd19+cd5+cd1dhi ( interleukin-10producing regulatory b [ b10 ] ) cells by flow cytometry.resultspatients with t1d or lada had increased percentages of mzb cells and decreased percentages of fob cells compared with healthy control subjects with ngt and patients with t2d . 
 moreover , patients with t1d showed the lowest frequency of b10 cells compared with patients with lada or t2d , whereas healthy control subjects expressed the highest frequency of b10 cells . 
 of note , the frequency of mzb cells was negatively associated and the frequency of fob cells was positively associated with fasting c - peptide ( fcp ) . 
 the frequency of b10 cells was positively correlated with fcp and negatively correlated with hemoglobin a1c.conclusionsthe data show that patients with t1d or lada express an altered frequency of b - cell subsets , which is associated with islet function and glycemia . 
 these findings suggest that b lymphocytes may be involved in loss of self - tolerance and -cell destruction and could be used as a biomarker and potential target for immunological intervention . ",0.4735,0.1525,0.2014,0.3993,0.3128
" human papillomavirus ( hpv ) infection is the leading cause of cancer mortality among women worldwide . 
 the molecular understanding of hpv proteins has significant connotation for understanding their intrusion in the host and designing novel protein vaccines and anti - viral agents , etc . 
 genomic , proteomic , structural , and disease - related information on hpv is available on the web ; yet , with trivial annotations and more so , it is not well customized for data analysis , host - pathogen interaction , strain - disease association , drug designing , and sequence analysis , etc . 
 we attempted to design an online reserve with comprehensive information on hpv for the end users desiring the same 
 . the human papillomavirus proteome database ( hpvpdb ) domiciles proteomic and genomic information on 150 hpv strains sequenced to date . 
 simultaneous easy expandability and retrieval of the strain - specific data , with a provision for sequence analysis and exploration potential of predicted structures , and easy access for curation and annotation through a range of search options at one platform are a few of its important features . 
 affluent information in this reserve could be of help for researchers involved in structural virology , cancer research , drug discovery , and vaccine design . ",0.3689,0.0878,0.1553,0.3155,0.2657
" purpose : to present clinical results of toric intraocular lens ( iol ) implantation for preexisting astigmatism correction and determine the time of any postoperative rotation.patients and methods : twenty - nine eyes of 19 patients underwent uncomplicated phacoemulsification and were implanted with an acrysof  toric iol . uncorrected visual acuity , residual astigmatism , and postoperative rotation of the iol were estimated one and six months after the operation.results:uncorrected visual acuity was 0.5 in 26 of 29 eyes ( 89.7% ) and 0.8 in 19 of 29 patients ( 65.5% ) . 
 the mean toric iol axis rotation was 2.2  1.5 ( range 0.67.8 ) one month postoperation and 2.7  1.5 ( range 0.98.4 ) six months postoperation.conclusion:implantation of one - piece hydrophobic acrylic toric iols appears to have acceptable stability , which encourages visual outcome and emerges as an attractive alternative for correction of refractive astigmatism . ",0.4757,0.2057,0.2609,0.3529,0.3369
" the song of zebra finch is stable in life after it was learned successfully . 
 vocal plasticity is thought to be a motor exploration that can support continuous learning and optimization of performance . 
 the activity of ra , an important pre - motor nucleus in songbird 's brain , influences the song directly . 
 this variability in adult birdsong is associated with the activity of nmda receptors in lman - ra synapses , but the detailed mechanism is unclear . 
 the control of gain refers to modulation of a neuron 's responsiveness to input and is critically important for normal sensory , cognitive , and motor functions . here , we observed the change of gain in ra projection neurons after exogenous nmda was applied to activate nmda receptors using the whole - cell current clamp recording . 
 we found that nmda substantially increased the slope ( gain ) of the firing rate - current relationship in ra projection neurons . 
 the ampa receptor - dependent excitability played a crucial role in the modulation of gain by nmda . 
 these results suggested that nmda receptors may regulate the dynamics of ra projection neurons by input - output gain . ",0.4162,0.1047,0.1908,0.3642,0.2444
" introductionpythiosis is a serious life- and limb - threatening infection endemic to thailand , but rarely seen in the western hemisphere . here 
 , we present a unique case of vascular pythiosis initially managed with limb - sparing vascular bypass grafts complicated by a pseudoaneurysm in our repair.presentation of casethe patient is a 17 year - old jamaican male with severe aplastic anemia . 
 he sustained a minor injury to his left leg while fishing in jamaica , which evolved to become an exquisitely tender inguinal swelling . 
 his physical exam and imaging were significant for arteriovenous fistula with limb ischemia . 
 pathology obtained during surgery for an extra - anatomic vascular bypass showed extensive invasion by pythium insidiosum . 
 he later developed a pseudoaneurysm at the site of proximal anastomosis and required urgent intervention.discussionthis patient presented with a rare , but classic case of vascular pythiosis , which was unrecognized at the time of presentation . 
 a variety of therapeutic modalities have been used to treat this disease , including antibiotics , antifungals , and immunotherapy , but the ultimate management of vascular pythiosis is surgical source control.conclusiona high index of suspicion in susceptible patients is needed for timely diagnosis of vascular pythiosis to achieve optimal source control . ",0.4355,0.1568,0.2366,0.3333,0.275
" we evaluated a three - dimensional ( 3d ) human oral cell culture that consisted of two types of cells , oral keratinocytes and fibroblasts as a model of oral mucositis which is a debilitating adverse effect of chemotherapy and radiation treatment . 
 the 3d cell culture model was irradiated with 12 or 2  gy , and total rna was collected 6  h after irradiation to compare global gene expression profiles via microarray analysis . here 
 we provide detailed methods and analysis on these microarray data , which have been deposited in gene expression omnibus ( geo ) : gse62395 . ",0.1858,0.022,0.0984,0.1585,0.2095
" self - report of sexual behavior among adolescents is notoriously inconsistent , yet such measures are commonly used as outcomes for human immunodeficiency virus ( hiv ) prevention intervention trials . 
 there has been a growing interest in the use of hiv and other sexually transmitted disease biomarkers as more valid measures of intervention impact in high hiv prevalence areas , particularly in sub - saharan africa . 
 we examine the challenges , benefits , and feasibility of including hiv and herpes simplex virus type 2 ( hsv-2 ) biomarker data , with details about different data collection and disclosure methods from two adolescent prevention trials in kenya and zimbabwe . in kenya , 
 whole blood samples were collected using venipuncture ; adult guardians were present during biomarker procedures and test results were disclosed to participants and their guardians . in contrast , in zimbabwe , samples were collected using finger pricks for dried blood spots ( dbs ) ; guardians were not present during biomarker procedures , and results were not disclosed to participants and/or their guardians . in both countries , 
 prevalence in the study samples was low . 
 although the standard of care for testing for hiv and other sexually transmitted infections includes disclosure in the presence of a guardian for adolescents under age 18 , we conclude that more research about the risks and benefits of disclosure to adolescents in the context of a clinical trial is needed . 
 notably , current serological diagnosis for hsv-2 has a low positive predictive value when prevalence is low , resulting in an unacceptable proportion of false positives and serious concerns about disclosing test results to adolescents within a trial . 
 we also conclude that the dbs approach is more convenient and efficient than venipuncture for field research , although both approaches are feasible . 
 manufacturer validation studies using dbs for hsv-2 , however , are needed for widespread use . ",0.4639,0.1527,0.1825,0.346,0.2836
" objectivelife - threatening hemispheric stroke is associated with a high mortality and morbidity . 
 decompressive hemicraniectomy has been regarded as an effective treatment option for refractory intracranial hypertension . here , 
 we reported the clinical course of 5 children with decompressive craniectomy and duroplasty after non - traumatic refractory intracranial hypertension.methodsfour toddlers and one preschool - girl were included in this study ; there were 3 boys and 2 girls with a mean age of 34.6 months ( range 17 - 80 ) . 
 decompressive craniectomy including duroplasty was performed in cases of dilatation of pupil size after intensified standard medical therapy had proven insufficient . 
 all children had a pediatric glasgow coma scale score < 8 at pre - operation state . 
 the mean time - point of craniectomy after stroke attack was 12 hours ( range 4 - 19).resultsduring the long - term follow - up period ( mean 47.6 months ) , no children died . 
 one year later , when we checked their glasgow outcome scale scores , only one toddler received a score of 4 ( moderate disability ) . 
 but the others had good recoveries although they had minor physical or mental deficits . 
 according to the pediatric cerebral performance category scale , 4 children received a score of 2 ( mild disability).conclusiondespite our small cases , we suggest that decompressive hemicraniectomy and duroplasty is an acceptable and life - saving treatment for refractory intracranial hypertension after unilateral hemispheric stroke in toddlers and preschool children . ",0.3934,0.1048,0.1754,0.3507,0.2236
" objectivewe investigated whether the antiproteinuric effect of the direct renin inhibitor aliskiren is comparable to that of irbesartan and the effect of the combination.research design and methodsthis was a double - blind , randomized , crossover trial . 
 after a 1-month washout period , 26 patients with type 2 diabetes , hypertension , and albuminuria ( > 100 mg / day ) were randomly assigned to four 2-month treatment periods in random order with placebo , 300 mg aliskiren once daily , 300 mg irbesartan once daily , or the combination using identical doses . 
 patients received furosemide in a stable dose throughout the study . 
 the primary end point was a change in albuminuria . 
 secondary measures included change in 24-h blood pressure and glomerular filtration rate ( gfr).resultsplacebo geometric mean albuminuria was 258 mg / day ( range 842,361 ) , mean  sd 24-h blood pressure was 140/73  15/8 mmhg , and gfr was 89  27 ml / min per 1.73 m2 . 
 aliskiren treatment reduced albuminuria by 48% ( 95% ci 2762 ) compared with placebo ( p < 0.001 ) , not significantly different from the 58% ( 4279 ) reduction with irbesartan treatment ( p < 0.001 vs. placebo ) . 
 combination treatment reduced albuminuria by 71% ( 5979 ) , more than either monotherapy ( p < 0.001 and p = 0.028 ) . 
 fractional clearances of albumin were significantly reduced ( 46 , 56 , and 67% reduction vs. placebo ) . 
 twenty - four - hour blood pressure was reduced 3/4 mmhg by aliskiren ( ns / p = 0.009 ) , 12/5 mmhg by irbesartan ( p < 0.001/p = 0.002 ) , and 10/6 mmhg by the combination ( p = 0.001/p < 0.001 ) . 
 gfr was significantly reduced 4.6 ( 95% ci 0.38.8 ) ml / min per 1.73 m2 by aliskiren , 8.0 ( 3.612.3 ) ml / min per 1.73 m2 by irbesartan , and 11.7 ( 7.415.9 ) ml / min per 1.73 m2 by the combination.conclusionsthe combination of aliskiren and irbesartan is more antiproteinuric in type 2 diabetic patients with albuminuria than monotherapy . ",0.3953,0.1356,0.1892,0.3581,0.2875
" cell - surface interactions play a crucial role for biomaterial application in orthopaedics . 
 
 it is evident that not only the chemical composition of solid substances influence cellular adherence , 
 migration , proliferation and differentiation but also the surface topography of a biomaterial . 
 
 the progressive application of nanostructured surfaces in medicine has gained increasing interest 
 to improve the cytocompatibility and osteointegration of orthopaedic implants . 
 therefore , the 
 understanding of cell - surface interactions is of major interest for these substances . in this review 
 , 
 we elucidate the principle mechanisms of nano- and microscale cell - surface interactions in vitro for 
 different cell types onto typical orthopaedic biomaterials such as titanium ( ti ) , 
 cobalt - chrome - molybdenum ( cocrmo ) alloys , stainless steel ( ss ) , as well as synthetic polymers 
 ( uhmwpe , xlpe , peek , plla ) . 
 in addition , effects of nano- and microscaled particles and their 
 significance in orthopaedics were reviewed . 
 the significance for the cytocompatibility 
 of nanobiomaterials is discussed critically . ",0.2963,0.0581,0.1728,0.2798,0.1831
" legumes ( fabaceae or leguminosae ) are unique among cultivated plants for their ability to carry out endosymbiotic nitrogen fixation with rhizobial bacteria , a process that takes place in a specialized structure known as the nodule . 
 legumes belong to one of the two main groups of eurosids , the fabidae , which includes most species capable of endosymbiotic nitrogen fixation 1 . 
 legumes comprise several evolutionary lineages derived from a common ancestor 60 million years ago ( mya ) . 
 papilionoids are the largest clade , dating nearly to the origin of legumes and containing most cultivated species 2 . 
 medicago truncatula ( mt ) is a long - established model for the study of legume biology . 
 here we describe the draft sequence of the mt euchromatin based on a recently completed bac - assembly supplemented with illumina - shotgun sequence , together capturing ~94% of all mt genes . a whole - genome duplication ( wgd ) 
 approximately 58 mya played a major role in shaping the mt genome and thereby contributed to the evolution of endosymbiotic nitrogen fixation . 
 subsequent to the wgd , the mt genome experienced higher levels of rearrangement than two other sequenced legumes , glycine max ( gm ) and lotus japonicus ( lj ) . 
 mt is a close relative of alfalfa ( m. sativa ) , a widely cultivated crop with limited genomics tools and complex autotetraploid genetics . as such 
 , the mt genome sequence provides significant opportunities to expand alfalfa s genomic toolbox . ",0.2723,0.0348,0.1386,0.2525,0.1562
" background : bipolar hip arthroplasty ( bha ) is one of the options for treatment of avascular necrosis ( avn ) of the femoral head . 
 acetabular erosion and groin pain are the most allowing for gross motion between the common complications . 
 we propose that these complications are secondary to improper acetabular preparation allowing for motion between the bha head and the acetabulum.materials and methods : the current study retrospectively evaluated patientsrecords from case files and also called them for clinical and radiological followup . 
 96 hips with avn of the femoral head treated with bha were included in the study . 
 all patients were males with a mean age of 42 years ( range 30 - 59 years ) . in all cases , 
 the acetabulum was gently reamed till it became uniformly concentric to achieve tight fitting trial cup . 
 clinical followup using harris hip score ( hhs ) and radiological study for cup migration were done at followup.results:the mean followup was 7.52 years ( range 4 - 16 years ) . 
 the hhs significantly improved from a preoperative value of 39.3 ( range , 54 - 30 ) to a postoperative value of 89.12 ( range 74 - 96 ) . according to hhs grades , the final outcome was excellent in 52 hips , good in 28 and fair in 16 hips . 
 hip and groin pain was reported in four hips ( 5% ) , but did not limit activity . 
 subsidence ( less than 5 mm ) of the femoral component was seen in 8 cases . 
 subgroup analysis showed patients with ficat stage 3 having better range of motion , but similar hhs as compared to ficat stage 4 patients.conclusion:bipolar hip arthroplasty ( bha ) using tight fitting cup and acetabular reaming in avn hip has a low incidence of groin pain , acetabular erosion and revision in midterm followup . 
 good outcome and mid term survival can be achieved irrespective of the ficat stage . ",0.4137,0.1089,0.2088,0.3735,0.2339
" valproic acid ( vpa ) has successfully been used in the therapy of a number of conditions including absence seizures , partial seizures , tonic - clonic seizures , bipolar disorder , schizoaffective disorder , social phobias , neuropathic pain and migraine headaches . 
 there is a high rise in number of cases of toxicity due to overdose of vpa . 
 hyperammonemia , a common side - effect of vpa , is caused by several proposed etiologies , reported as having uncertain correlation with vpa dose or concentration . 
 we present here a case of a 25-year - old female patient with a past history of psychiatric complaints , presented with elevated serum vpa levels associated with elevated venous ammonia levels subsequent to vpa overdose . later in the presence of sub - therapeutic serum vpa levels 
 her venous ammonia levels remained raised and slowly down - trending . 
 vpa levels and ammonia levels were found to be normal after 14 days . 
 patient was treated with levocarnitine . 
 her liver enzymes were never elevated . 
 different decay kinetics of venous ammonia in presence of high and low concentrations of vpa indicates that vpa can cause symptomatic hyperammonemia via more than one concurrent etiological mechanism . in this patient , 
 the mechanisms causing hyperammonia secondary to vpa use were not related to hepatic damage or carnitine deficiency . ",0.4293,0.1803,0.2391,0.3804,0.3531
" treatment of mastitis should be based on bacteriological diagnosis and take national and international guidelines on prudent use of antimicrobials into account . in acute mastitis , where bacteriological diagnosis is not available , treatment should be initiated based on herd data and personal experience . 
 rapid bacteriological diagnosis would facilitate the proper selection of the antimicrobial . 
 treating subclinical mastitis with antimicrobials during lactation is seldom economical , because of high treatment costs and generally poor efficacy . 
 all mastitis treatment should be evidence - based , i.e. , the efficacy of each product and treatment length should be demonstrated by scientific studies . 
 use of on - farm written protocols for mastitis treatment promotes a judicious use of antimicrobials and reduces the use of antimicrobials . ",0.3165,0.0542,0.1481,0.2828,0.2676
